Date,time,title,segment,pred,neg,pos,neu,Index_Change,Percent_Change,Direction_Change,Open,Highest,Lowest,Closed,AVG,Adjusted_Closed,Volume,Company_Code
7/12/2022,7:40,Thêm ngân hàng giảm lãi suất cho khách hàng vay kinh doanh,thêm ngân_hàng giảm lãi_suất cho khách_hàng vay kinh_doanh,2,0.031923544,0.21586269,0.7522138,4.6,6.91%,+,69.2,71.2,68.5,71.2,70.62,71.2,9421500,VIC
6/12/2022,13:36,VIB: Phiếu lấy ý kiến cổ đông bằng văn bản,vib : phiếu lấy ý_kiến cổ_đông bằng văn_bản,2,0.06734054,0.044149548,0.8885099,-1.5,-2.20%,-,68.1,68.5,65,66.6,66.89,66.6,1803300,VIC
6/12/2022,13:36,"VIB: Đề cử, ứng cử HĐQT, BKS","vib : đề_cử , ứng_cử hđqt , bks",2,0.04558694,0.052211203,0.9022019,-1.5,-2.20%,-,68.1,68.5,65,66.6,66.89,66.6,1803300,VIC
5/12/2022,13:48,VIB: Vợ ông Trần Nhất Minh - Phó TGĐ đã bán 144.200 cp,vib : vợ ông trần_nhất_minh - phó tgđ đã bán 144.200 cp,0,0.98201203,0.004339589,0.013648418,-0.7,-1.02%,-,68.8,70,68,68.1,68.93,68.1,2301900,VIC
9/11/2022,17:04,VIB: Vợ ông Trần Nhất Minh - Phó TGĐ đã bán 60.000 cp,vib : vợ ông trần_nhất_minh - phó tgđ đã bán 60.000 cp,0,0.9829149,0.004229626,0.01285551,0.4,0.75%,+,53.3,54.3,52.2,53.7,53.53,53.7,1573900,VIC
9/11/2022,17:03,VIB: Công văn của NHNN v/v chấp thuận cho VIB thay đổi tên và địa điểm Chi nhánh Đồng Tháp,vib : công_văn của nhnn v / v chấp_thuận cho vib thay_đổi tên và địa_điểm chi_nhánh đồng_tháp,2,0.13376972,0.04365604,0.82257426,0.4,0.75%,+,53.3,54.3,52.2,53.7,53.53,53.7,1573900,VIC
9/11/2022,13:51,"VIB: Trích Nghị quyết HĐQT về ngày ĐKCC chốt DSCĐ để thực hiện quyền ứng cử, đề cử nhân sự","vib : trích_nghị quyết hđqt về ngày đkcc chốt dscđ để thực_hiện quyền ứng_cử , đề_cử nhân_sự",2,0.13937476,0.057531413,0.8030938,0.4,0.75%,+,53.3,54.3,52.2,53.7,53.53,53.7,1573900,VIC
7/11/2022,13:30,VIB nhận giải ngân khoản vay 150 triệu USD từ IFC,vib nhận giải_ngân khoản vay 150 triệu usd từ ifc,2,0.041345764,0.09446806,0.8641862,-0.9,-1.66%,-,54,54,51.7,53.4,53.02,53.4,1702500,VIC
4/11/2022,8:28,VIB và Lazada tặng loạt ưu đãi tiền triệu cho người dùng,vib và lazada tặng loạt ưu_đãi tiền triệu cho người dùng,1,0.005020553,0.97430634,0.020673094,-0.8,-1.45%,-,54.9,54.9,52.1,54.3,53.46,54.3,1617900,VIC
3/11/2022,17:28,VIB: Con ông Đỗ Xuân Hoàng - TV.HĐQT đã mua 4.000.000 cp,vib : con ông đỗ_xuân_hoàng - tv.hđqt đã mua 4.000.000 cp,2,0.03098523,0.39836508,0.5706496,-0.3,-0.54%,-,54.4,55.1,54.3,55.1,54.76,55.1,909700,VIC
3/11/2022,17:26,VIB: Bố ông Đỗ Xuân Hoàng - TV.HĐQT đã bán 4.000.000 cp,vib : bố ông đỗ_xuân_hoàng - tv.hđqt đã bán 4.000.000 cp,0,0.5993227,0.18097611,0.21970125,-0.3,-0.54%,-,54.4,55.1,54.3,55.1,54.76,55.1,909700,VIC
11/10/2022,8:00,VIB công bố KQKD 9 tháng năm 2022: Hiệu quả và an toàn vượt trội,vib công_bố kqkd 9 tháng năm 2022 : hiệu_quả và an_toàn vượt_trội,1,0.002006171,0.9919097,0.006084165,-0.2,-0.33%,-,58.3,60.1,56.7,60,58.83,60,4356800,VIC
7/10/2022,15:48,"VIB: 19.10.2022, ngày GDKHQ lấy ý kiến cổ đông bằng văn bản","vib : 19.10.2022 , ngày gdkhq lấy ý_kiến cổ_đông bằng văn_bản",2,0.07495203,0.047341432,0.8777065,0.1,0.17%,+,60.5,60.7,58.3,60.2,60,60.2,2987900,VIC
6/10/2022,7:54,Chi tiêu qua thẻ ghi nợ nhiều ưu đãi và tiện ích,chi_tiêu qua thẻ_ghi_nợ nhiều ưu_đãi và tiện_ích,1,0.001682993,0.9909581,0.007358825,0.1,0.17%,+,59.8,62,58.1,60.1,59.89,60.1,1011900,VIC
4/10/2022,13:30,VIB đến gần hơn với người trẻ qua The Masked Singer,vib đến gần hơn với người trẻ qua the_masked_singer,2,0.056385215,0.06431642,0.8792983,1.5,2.70%,+,56,57,54.6,57,56.09,57,1696700,VIC
7/9/2022,17:31,VIB: Công văn của NHNN chi nhánh Tỉnh Quảng Ngãi chấp thuận thay đổi địa điểm Chi nhánh Quảng Ngãi,vib : công_văn của nhnn chi_nhánh tỉnh quảng_ngãi chấp_thuận thay_đổi địa_điểm chi_nhánh quảng_ngãi,2,0.25170302,0.042234596,0.7060624,-0.8,-1.26%,-,63.3,63.4,62.5,62.5,62.82,62.5,1347400,VIC
5/9/2022,7:32,Những công nghệ nổi trội của Ngân hàng số MyVIB 2.0,những công_nghệ nổi_trội của ngân_hàng số myvib 2.0,1,0.004454308,0.97711426,0.018431403,0.3,0.47%,+,64.8,65.2,64,64,64.56,64,1610100,VIC
11/8/2022,9:23,VIB: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 37,vib : giấy chứng_nhận đăng_ký doanh_nghiệp thay_đổi lần thứ 37,0,0.77058977,0.033931796,0.19547845,1,1.54%,+,65.6,66.4,65,65.8,65.73,65.8,1674000,VIC
9/8/2022,16:59,VIB: Công văn của NHNN về việc chấp thuận thay địa điểm hoạt động Chi nhánh VIB Nhà Bè,vib : công_văn của nhnn về việc chấp_thuận thay địa_điểm hoạt_động chi_nhánh vib nhà_bè,2,0.29183894,0.036001448,0.67215955,0.7,1.08%,+,64.8,65.4,64.7,65.3,65.03,65.3,792000,VIC
8/8/2022,16:57,VIB: Công văn của NHNN chi nhánh TP.HCM chấp thuận thay đổi địa chỉ Chi nhánh và Phòng giao dịch,vib : công_văn của nhnn chi_nhánh tp. hcm chấp_thuận thay_đổi địa_chỉ chi_nhánh và phòng giao_dịch,2,0.06713489,0.04855373,0.8843114,-0.8,-1.22%,-,65.4,65.7,64.6,64.6,64.98,64.6,1010300,VIC
4/8/2022,17:47,VIB: Giải trình biến động LNST BCTC soát xét bán niên năm 2022 so với cùng kỳ năm trước,vib : giải_trình biến_động lnst bctc soát_xét bán niên năm 2022 so với cùng kỳ năm trước,2,0.046695217,0.054712288,0.8985925,0.4,0.61%,+,66,66.4,65.4,66.4,65.91,66.4,1146000,VIC
8/7/2022,17:47,VIB: Quyết định của NHNNVN v/v sửa đổi nội dung vốn điều lệ tại Giấy phép thành lập và hoạt động,vib : quyết_định của nhnnvn v / v sửa_đổi nội_dung vốn_điều_lệ tại giấy_phép thành_lập và hoạt_động,2,0.094237134,0.05407281,0.85169005,0.2,0.29%,+,70,70.7,67.5,70,68.9,70,1413800,VIC
6/7/2022,17:26,VIB: Giao dịch 554.529.952 cp niêm yết bổ sung,vib : giao_dịch 554.529.952 cp niêm_yết bổ_sung,2,0.029271074,0.12837616,0.84235275,-4.8,-6.64%,-,72,72.1,67.5,67.5,69.72,67.5,2171700,VIC
6/7/2022,17:20,"VIB: 8.7.2022, niêm yết bổ sung 554.529.952 cp","vib : 8.7.2022 , niêm_yết bổ_sung 554.529.952 cp",2,0.035966218,0.23255879,0.731475,-4.8,-6.64%,-,72,72.1,67.5,67.5,69.72,67.5,2171700,VIC
6/7/2022,16:55,VIB: TCông văn của NHNN về việc chấp thuận thay địa điểm hoạt động Chi nhánh Nhà Bè của VIB,vib : tcông văn của nhnn về việc chấp_thuận thay địa_điểm hoạt_động chi_nhánh nhà_bè của vib,2,0.170071,0.05947066,0.77045834,-4.8,-6.64%,-,72,72.1,67.5,67.5,69.72,67.5,2171700,VIC
10/6/2022,8:00,4 điều thú vị cha mẹ có thể tặng con hè này,4 điều thú_vị cha_mẹ có_thể tặng con hè này,1,0.001745801,0.9913078,0.006946482,-0.1,-0.13%,-,77.8,78.2,77.5,78,77.84,78,979600,VIC
8/6/2022,16:58,VIB: Quyết định thành lập chi nhánh VIB Nhà Bè,vib : quyết_định thành_lập chi_nhánh vib nhà_bè,2,0.0655277,0.046779484,0.8876928,0.1,0.13%,+,77.8,78.7,77.6,78.1,78.15,78.1,1441700,VIC
7/6/2022,17:30,"Chuyển nhượng tiền gửi chỉ trong vài phút, bạn đã thử?","chuyển_nhượng tiền gửi chỉ trong vài phút , bạn đã thử ?",1,0.014968144,0.8721513,0.11288053,-0.5,-0.64%,-,78.5,78.5,77.7,78,77.98,78,1612200,VIC
6/6/2022,13:30,Tặng ưu đãi trị giá đến 800.000 đồng cho người dùng MyVIB 2.0,tặng ưu_đãi trị_giá đến 800.000 đồng cho người dùng myvib 2.0,1,0.006072266,0.9654232,0.028504515,-0.3,-0.38%,-,78.7,78.9,77.9,78.5,78.34,78.5,1503500,VIC
2/6/2022,9:04,VIB: Làm rõ thông tin tại báo cáo kết quả phát hành,vib : làm rõ thông_tin tại báo_cáo kết_quả phát_hành,2,0.28843912,0.0383418,0.673219,-0.4,-0.50%,-,79.2,79.2,77.6,78.9,78.49,78.9,3905400,VIC
1/6/2022,15:58,VIB: Ông Ân Thanh Sơn - Phó TGĐ đã nhận thưởng 222.222 cp,vib : ông ân_thanh_sơn - phó tgđ đã nhận thưởng 222.222 cp,1,0.020187596,0.68821305,0.29159936,0.5,0.63%,+,78.6,79.4,78.3,79.3,78.89,79.3,2014200,VIC
1/6/2022,15:57,VIB: Ông Hàn Ngọc Vũ - TGĐ đã nhận thưởng 28.857 cp,vib : ông hàn_ngọc_vũ - tgđ đã nhận thưởng 28.857 cp,2,0.036325168,0.17355959,0.7901153,0.5,0.63%,+,78.6,79.4,78.3,79.3,78.89,79.3,2014200,VIC
1/6/2022,15:57,VIB: Ông Hồ Vân Long - Phó TGĐ đã nhận thưởng 193.365 cp,vib : ông hồ_vân_long - phó tgđ đã nhận thưởng 193.365 cp,2,0.046509277,0.084410444,0.8690803,0.5,0.63%,+,78.6,79.4,78.3,79.3,78.89,79.3,2014200,VIC
1/6/2022,15:56,VIB: Bà Phạm Thị Minh Huệ - Kế toán trưởng đã nhận 202.218 cp thưởng,vib : bà phạm_thị_minh_huệ - kế_toán_trưởng đã nhận 202.218 cp thưởng,0,0.9841188,0.004998227,0.010882994,0.5,0.63%,+,78.6,79.4,78.3,79.3,78.89,79.3,2014200,VIC
1/6/2022,15:54,VIB: Ông Trần Nhất Minh - Phó TGĐ đã nhận 217.365 cp thưởng,vib : ông trần_nhất_minh - phó tgđ đã nhận 217.365 cp thưởng,1,0.021423507,0.565337,0.41323954,0.5,0.63%,+,78.6,79.4,78.3,79.3,78.89,79.3,2014200,VIC
1/6/2022,15:53,VIB: Đại diện cho cán bộ nhân viên VIB đề nghị lưu ký cổ phiếu tại VSD,vib : đại_diện cho cán_bộ nhân_viên vib đề_nghị lưu ký cổ_phiếu tại vsd,0,0.5756477,0.02841367,0.39593863,0.5,0.63%,+,78.6,79.4,78.3,79.3,78.89,79.3,2014200,VIC
1/6/2022,15:46,VIB: Quyết định của HĐQT v/v xử lý cổ phần lẻ phát sinh trong đợt chia cổ phiếu thưởng cho CĐHH,vib : quyết_định của hđqt v / v xử_lý cổ_phần lẻ phát_sinh trong đợt chia cổ_phiếu thưởng cho cđhh,2,0.064513564,0.052972954,0.88251346,0.5,0.63%,+,78.6,79.4,78.3,79.3,78.89,79.3,2014200,VIC
10/5/2022,17:40,VIB: Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động trong công ty,vib : phát_hành cổ_phiếu theo chương_trình lựa_chọn cho người lao_động trong công_ty,2,0.03750612,0.07752931,0.8849645,1.3,1.64%,+,78.9,80.4,78.1,80.4,79.09,80.4,3157900,VIC
10/5/2022,17:25,VIB: Công văn của NHNN về việc chấp thuận thay địa điểm đặt trụ sở Chi nhánh VIB Hải Phòng,vib : công_văn của nhnn về việc chấp_thuận thay địa_điểm đặt trụ_sở chi_nhánh vib hải_phòng,2,0.08950359,0.044311494,0.86618495,1.3,1.64%,+,78.9,80.4,78.1,80.4,79.09,80.4,3157900,VIC
9/5/2022,17:45,"VIB: 13.5.2022, ngày GDKHQ nhận cổ phiếu thưởng (tỷ lệ 100:35)","vib : 13.5.2022 , ngày gdkhq nhận cổ_phiếu thưởng ( tỷ_lệ 1 00:3 5 )",2,0.037835114,0.26888275,0.69328207,-0.7,-0.88%,-,78.7,79.2,77.9,79.1,78.71,79.1,2428900,VIC
9/5/2022,13:28,VIB: Khai trương chi nhánh VIB Bình Chánh,vib : khai_trương chi_nhánh vib bình_chánh,2,0.03454388,0.06970508,0.895751,-0.7,-0.88%,-,78.7,79.2,77.9,79.1,78.71,79.1,2428900,VIC
9/5/2022,13:20,"Moody's: Lợi nhuận ngân hàng Việt Nam tăng trưởng bất chấp đại dịch, sẽ cải thiện hơn nữa trong năm 2022","moody ' s : lợi_nhuận ngân_hàng việt_nam tăng_trưởng bất_chấp đại_dịch , sẽ cải_thiện hơn_nữa trong năm 2022",1,0.00247581,0.9911776,0.006346613,-0.7,-0.88%,-,78.7,79.2,77.9,79.1,78.71,79.1,2428900,VIC
5/5/2022,14:09,5 lý do người trẻ nên có ít nhất 1 chiếc thẻ tín dụng trong ví,5 lý_do người trẻ nên có ít_nhất 1 chiếc thẻ_tín_dụng trong ví,2,0.051737566,0.38088247,0.56737995,0.3,0.38%,+,79.6,80,78.5,80,79.57,80,1858600,VIC
4/5/2022,16:30,VIB: Vợ ông Đặng Văn Sơn - Phó CT.HĐQT đã bán 2.315.600 cp,vib : vợ ông đặng_văn_sơn - phó ct.hđqt đã bán 2.315.600 cp,2,0.068666294,0.057513766,0.8738199,-0.3,-0.38%,-,79.6,80,77.7,79.7,79.15,79.7,1466000,VIC
8/4/2022,17:51,VIB: Ông Trần Nhất Minh - Phó TGĐ đã mua 800.000 cp,vib : ông trần_nhất_minh - phó tgđ đã mua 800.000 cp,0,0.97570395,0.005300388,0.018995682,2.2,2.77%,+,80,82.4,80,81.7,81.41,81.7,5391024,VIC
8/4/2022,14:36,Bạn đồng hành đắc lực để cha mẹ giúp con vững bước tới tương lai,bạn đồng_hành đắc_lực để cha_mẹ giúp con vững bước tới tương_lai,1,0.00326163,0.97647095,0.02026739,2.2,2.77%,+,80,82.4,80,81.7,81.41,81.7,5391024,VIC
7/4/2022,11:20,"Cổ phiếu ngân hàng đỡ thị trường, vốn hóa VPBank vượt Techcombank","cổ_phiếu ngân_hàng đỡ thị_trường , vốn hoá vpbank vượt techcombank",1,0.004856618,0.932052,0.06309142,-1,-1.24%,-,80.2,80.3,77.6,79.5,78.69,79.5,3764800,VIC
6/4/2022,9:20,Gửi tiết kiệm online: Tạo thói quen giao dịch tài chính thông minh,gửi tiết_kiệm online : tạo thói_quen giao_dịch tài_chính thông_minh,1,0.007010231,0.96732795,0.025661832,-1.8,-2.19%,-,80.5,82.3,79.5,80.5,80.4,80.5,5679100,VIC
11/3/2022,13:08,Những điều chưa được bật mí từ dòng thẻ VIB Online Plus 2in1,những điều chưa được bật_mí từ dòng thẻ vib online_plus 2in1,1,0.003715844,0.9867547,0.009529512,-0.1,-0.13%,-,78.8,79,77.8,79,78.37,79,2222400,VIC
11/3/2022,9:06,"Cách nhận ưu đãi quanh năm đến 30% chi tiêu ẩm thực, mua sắm, du lịch","cách nhận ưu_đãi quanh_năm đến 30% chi_tiêu ẩm_thực , mua_sắm , du_lịch",1,0.001859129,0.99223924,0.005901631,-0.1,-0.13%,-,78.8,79,77.8,79,78.37,79,2222400,VIC
3/3/2022,16:49,"Nhiều cổ phiếu ngân hàng ''quay xe'' tăng vọt phiên chiều 3/3, khối ngoại nhanh tay vào bắt đáy","nhiều cổ_phiếu ngân_hàng ' ' quay xe ' ' tăng vọt phiên chiều 3/3 , khối ngoại nhanh tay vào bắt đáy",1,0.005039266,0.93625146,0.058709234,0.1,0.13%,+,78.9,80.4,78.3,79,79.27,79,2610400,VIC
3/3/2022,10:51,"Giữa lúc cổ phiếu ngân hàng đỏ lửa, Sếp VIB đăng ký mua vào 800.000 cổ phiếu","giữa lúc cổ_phiếu ngân_hàng đỏ_lửa , sếp_vib đăng_ký mua vào 800.000 cổ_phiếu",2,0.03233612,0.1540056,0.8136583,0.1,0.13%,+,78.9,80.4,78.3,79,79.27,79,2610400,VIC
2/3/2022,16:03,VIB: Ông Trần Nhất Minh - Phó TGĐ đăng ký mua 800.000 cp,vib : ông trần_nhất_minh - phó tgđ đăng_ký mua 800.000 cp,0,0.97659427,0.005009297,0.018396376,-0.3,-0.38%,-,79.2,79.2,77.2,78.9,78.34,78.9,2401000,VIC
2/3/2022,14:03,Du lịch mùa dịch thêm an toàn nhờ VIB,du_lịch mùa dịch thêm an_toàn nhờ vib,1,0.003184018,0.97785884,0.018957132,-0.3,-0.38%,-,79.2,79.2,77.2,78.9,78.34,78.9,2401000,VIC
2/3/2022,10:41,VIB: Ông Lê Quang Trung thôi làm Phó TGĐ từ 1.3.2022,vib : ông lê_quang_trung thôi làm phó tgđ từ 1.3.2022,0,0.98211205,0.004258822,0.013629125,-0.3,-0.38%,-,79.2,79.2,77.2,78.9,78.34,78.9,2401000,VIC
11/2/2022,17:00,VIB: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 36,vib : giấy chứng_nhận đăng_ký doanh_nghiệp thay_đổi lần thứ 36,2,0.3878655,0.06437998,0.54775447,-2.3,-2.74%,-,83,83.6,81.5,81.7,82.13,81.7,7846400,VIC
11/2/2022,8:00,"Bán lẻ thuộc top đầu ngành, VIB tiếp tục bứt phá với số hóa","bán_lẻ thuộc top đầu ngành , vib tiếp_tục bứt_phá với số_hoá",1,0.003160694,0.9718275,0.025011813,-2.3,-2.74%,-,83,83.6,81.5,81.7,82.13,81.7,7846400,VIC
10/2/2022,8:00,Mẹo gửi tiết kiệm hiệu quả,mẹo gửi tiết_kiệm hiệu_quả,1,0.009649354,0.9194207,0.0709299,-1.7,-1.98%,-,85.7,86,81.7,84,83.49,84,11088500,VIC
9/2/2022,17:07,VIB: Ông Lê Quang Trung - Phó TGĐ đã bán 400.000 cp,vib : ông lê_quang_trung - phó tgđ đã bán 400.000 cp,0,0.98744315,0.003886199,0.008670691,-1.6,-1.83%,-,87.6,88.7,84.9,85.7,86.49,85.7,8812500,VIC
8/2/2022,15:02,Vì sao khối ngoại tích cực ''gom'' cổ phiếu ngân hàng trong những ngày đầu năm?,vì sao khối ngoại tích_cực ' ' gom ' ' cổ_phiếu ngân_hàng trong những ngày đầu năm ?,1,0.011851053,0.65780973,0.3303392,-3.9,-4.28%,-,91.3,92.3,86.7,87.3,88.37,87.3,8030899,VIC
8/2/2022,13:30,Tạp chí NCĐT: VIB dẫn đầu ngành ngân hàng trong TOP50,tạp_chí ncđt : vib dẫn_đầu ngành ngân_hàng trong top50,1,0.01916382,0.73509705,0.24573912,-3.9,-4.28%,-,91.3,92.3,86.7,87.3,88.37,87.3,8030899,VIC
8/2/2022,11:06,"Phó Tổng Giám đốc VIB bán xong gần 1,4 triệu cổ phiếu","phó tổng_giám_đốc vib bán xong gần 1,4 triệu cổ_phiếu",2,0.036360282,0.108176164,0.85546356,-3.9,-4.28%,-,91.3,92.3,86.7,87.3,88.37,87.3,8030899,VIC
7/2/2022,14:28,VIB: Ông Ân Thanh Sơn - Phó TGĐ đã bán 1.368.900 cp,vib : ông ân_thanh_sơn - phó tgđ đã bán 1.368.900 cp,0,0.97516805,0.005660598,0.019171365,-5.8,-5.98%,-,96.4,97.5,91.2,91.2,94.25,91.2,7453400,VIC
12/1/2022,16:50,"Dự báo lợi nhuận quý 4: MB, Techcombank và BIDV tăng mạnh, ACB, Vietcombank và VietinBank sụt giảm","dự_báo lợi_nhuận quý 4 : mb , techcombank và bidv tăng mạnh , acb , vietcombank và vietinbank sụt_giảm",2,0.047851667,0.11149766,0.84065074,-0.2,-0.20%,-,101.5,101.5,98,100.8,99.91,100.8,2338500,VIC
7/1/2022,15:18,VIB: Ông Lê Quang Trung - Phó TGĐ đăng ký bán 400.000 cp,vib : ông lê_quang_trung - phó tgđ đăng_ký bán 400.000 cp,0,0.98724896,0.00378966,0.008961323,-2.3,-2.20%,-,106.4,106.4,102.2,102.2,103.43,102.2,3128837,VIC
8/12/2021,8:49,"Mở tài khoản VIB Digi, sở hữu số riêng đúng ý","mở tài_khoản vib digi , sở_hữu số riêng đúng ý",1,0.007647688,0.9203757,0.07197656,-0.8,-0.75%,-,106.5,107,103.5,105.9,105.08,105.9,3639500,VIC
5/11/2021,13:30,VIB kỳ vọng bứt phá tăng trưởng trong quý 4,vib kỳ_vọng bứt_phá tăng_trưởng trong quý 4,1,0.003125365,0.97238445,0.024490211,0,0.00%,0,94.5,95,94,95,94.59,95,1870100,VIC
5/11/2021,6:48,Đã có hơn 50 doanh nghiệp trên sàn chứng khoán báo lãi vượt nghìn tỷ sau 3 quý,đã có hơn 50 doanh_nghiệp trên sàn chứng_khoán báo lãi vượt nghìn tỷ sau 3 quý,1,0.003692622,0.96097285,0.035334513,0,0.00%,0,94.5,95,94,95,94.59,95,1870100,VIC
3/11/2021,7:18,Covid-19 thúc đẩy trào lưu buy now pay later,covid-19 thúc_đẩy trào_lưu buy now pay later,1,0.010590316,0.9625182,0.02689158,-0.5,-0.52%,-,95.8,95.8,93.9,95.3,94.81,95.3,3568200,VIC
12/10/2021,20:23,VIB: Báo cáo tình hình quản trị công ty 6 tháng đầu năm 2021 (bản cập nhật),vib : báo_cáo tình_hình quản_trị công_ty 6 tháng đầu năm 2021 ( bản cập_nhật ),2,0.03207688,0.09237287,0.8755502,1,1.09%,+,92,93,92,92.9,92.59,92.9,2688700,VIC
12/10/2021,9:52,VIB: Nghị quyết HĐQT v/v hủy ngày ĐKCC và chốt lại danh sách cổ đông thực hiện tăng VĐL,vib : nghị_quyết hđqt v / v huỷ ngày đkcc và chốt lại danh_sách cổ_đông thực_hiện tăng vđl,0,0.48258933,0.04554036,0.47187036,1,1.09%,+,92,93,92,92.9,92.59,92.9,2688700,VIC
8/10/2021,16:32,Dự báo lợi nhuận quý III của 8 ngân hàng,dự_báo lợi_nhuận quý iii của 8 ngân_hàng,2,0.02069275,0.22325957,0.75604767,0.5,0.56%,+,89,89.5,88.8,89.3,89.21,89.3,1298500,VIC
4/10/2021,13:30,Bạn đồng hành đắc lực để chuẩn bị hành trang tương lai cho con,bạn đồng_hành đắc_lực để chuẩn_bị hành_trang tương_lai cho con,1,0.001994801,0.98464257,0.013362587,0.1,0.11%,+,87.6,88,87.1,87.8,87.56,87.8,1565200,VIC
4/10/2021,10:03,"VIB: 12.10.2021, ngày GDKHQ lấy ý kiến cổ đông bằng văn bản","vib : 12.10.2021 , ngày gdkhq lấy ý_kiến cổ_đông bằng văn_bản",2,0.06143043,0.049603183,0.88896644,0.1,0.11%,+,87.6,88,87.1,87.8,87.56,87.8,1565200,VIC
9/9/2021,14:57,VIB: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 35,vib : giấy chứng_nhận đăng_ký doanh_nghiệp thay_đổi lần thứ 35,0,0.67382896,0.038524278,0.28764677,-0.7,-0.76%,-,92.2,92.4,91.3,91.3,91.52,91.3,2846600,VIC
8/9/2021,13:30,VIB lập cú đúp giải thưởng quốc tế về thẻ tín dụng,vib lập cú đúp giải_thưởng quốc_tế về thẻ_tín_dụng,1,0.019508025,0.837643,0.14284895,-1.9,-2.02%,-,94,94.3,92,92,92.82,92,2629700,VIC
1/9/2021,9:08,5 lưu ý khi chuẩn bị cho con nhập học mùa dịch,5 lưu_ý khi chuẩn_bị cho con nhập_học mùa dịch,2,0.122045554,0.15976217,0.7181923,0,0.00%,0,94.1,95,94.1,94.1,94.44,94.1,1303100,VIC
5/8/2021,10:53,VIB Mừng sinh nhật vàng – Vạn quà tri ân,vib mừng sinh_nhật vàng – vạn quà tri_ân,1,0.001740862,0.9925569,0.005702143,0,0.00%,0,113.7,115,112.9,114,114.21,101.33,2049200,VIC
